"","Growth Form","Common Name","Other Common Names","Scientific Name","Ecoregion","Min Height","Max Height","Min Spread","Max Spread","Light","Water","Leaf Retention","Lifespan","Bloom Season","Bloom Color","Seasonal Interest","Soil","Wildlife Benefit","Native Habitat","Maintenence","Comments","References"
"","Herbaceous","Chile Pequin","Chile Tepin, Chiltepin, Chile Petin, Bird Pepper, Turkey Pepper , Cayenne Pepper","Capsicum annuum","Gulf Coast Prairies and Marshes, Southern Texas Plains, Texas Blackland Prairies","2","3","2","2","Sun","Low","Deciduous","Perennial","Summer, Fall","White","Fruit, Nectar","Sand, Loam, Clay","Butterflies, Birds","Woodland,Wetland or Riparian","Cut back to 3"" just before spring growth.","Easy to grow. Peppers are edible and HOT! Beautiful in mass plantings. Birds & humans love the fruit. Native Habitat: On ledges along rivers, in thickets and groves and along arroyos.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=CAAN4. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Capsicum+annuum&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=23214&locationType=County&mapType=Normal. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 235. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=30492#null"
"","Tree","Chinkapin Oak","Chinquapin Oak","Quercus muehlenbergii","Chihuahuan Deserts, Edwards Plateau, Texas Blackland Prairies","45","110","50","70","Sun, Part Shade","Medium","Deciduous","Perennial","Spring","Yellow, Green, Brown","Fall Color, Nuts, Nectar, Larval Host","Sand, Rocky, Alkaline","Butterflies, Birds, Small Mammals, Hummingbirds","Woodland","Prune for shape or to raise canopy.","Stately form; good for deeper soils. Leaves are sharply toothed but with no bristles. In the white oak group. This very attractive tree, relatively free of diseases and pests. Moderate growth rate.  Habitat notes: mixed deciduous and pine forests. Larval Host: Gray Hairstreak. ","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 342. 4) https://www.wildflower.org/plants/result.php?id_plant=QUMU. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Quercus+muehlenbergii&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=12141&locationType=County&mapType=Normal., 7) Native and Adapted Landscape Plants, City of Austin and Texas A&M, 2014. 8) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=504714#null"
"","Shrub","Chisos Mountain False Indian Mallow","Velvet-leaf Mallow","Allowissadula holosericea","Chihuahuan Deserts, Edwards Plateau","3","5","2","3","Part Shade","Low","Semi Evergreen","Perennial","Summer, Fall","Orange, Yellow","Nectar, Larval Host, Flowers","Sand, Loam, Clay, Rocky, Limestone, Well Drained","Butterflies, Bees","Grassland,Woodland","Over the course of the growing season, the plant may become bare underneath.","Large, velvety, heart-shaped leaves. Long flowering season if weather stays warm. Attractive orange-yellow flowers. Larval Host: Common Checkered Skipper, Texas Powdered Skipper, and Common Streaky-Skipper, Painted Lady.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=ALHO4. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=14497&locationType=County&mapType=Normal. 4) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 53. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=21776#null"
"","Herbaceous","Chocolate Daisy","Chocolate Flower, Lyreleaf Greeneyes, Green-eyed Lyre Leaf","Berlandiera lyrata","Central Great Plains, Chihuahuan Deserts, High Plains","2","4","0.25","0.5","Sun, Part Shade","Low","Deciduous","Perennial","Spring, Summer, Fall","Yellow","Nectar","Sand, Loam, Rocky, Limestone, Caliche, Calcareous, Well Drained, Dry","Butterflies, Bees","Grassland,Woodland"," In a meadow, it can be mowed in early summer after the first wave of blooms. Use as ornamental in wildflower meadow, as an accent shrub, perennial garden, or shortgrass meadow. It can get quite tall with rich soil and abundant water, but in poor soil it is more compact. ","This flower really does smell like chocolate, especially on warm days.  It will bloom year round in warm weather. Leaves are pale green in a rosette at the base of the plant, longer branches are topped by flower heads with yellow rays surrounding a maroon central disc.  The yellow flower petals have red to maroon veins on the underside.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas, 2) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=2300&locationType=County&mapType=Normal. 3) https://www.wildflower.org/plants/result.php?id_plant=BELY. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Berlandiera+lyrata&formsubmit=Search+Terms 5) Wasowski, Sally and Wasowski, Andy, Native Texas Plants, Landscaping Region by Region, 1988, 1991, pg 180. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=36832#null"
"","Cactus & Succulent","Cholla","Tree Cholla, Walking Stick Cholla","Cylindropuntia imbricata","Chihuahuan Deserts, High Plains","5","8","5","8","Sun","Low","Evergreen","Annual","Spring, Summer","Red, Pink, Purple","Fruit, Pollen, Flowers","Rocky, Limestone, Well Drained","Bees","Grassland,Woodland","Low maintenance.","Cylindropuntia imbricata, tree cholla, is found in a wide range of environments, from the hot deserts of west Texas to the Colorado mountains above 6,000 feet. It has thick branches, bearing short white or light brown spines, with most stems high above the ground, supported by a strong central trunk. The violet flowers are followed by orange fruits that stay attached to the plant for many months. ","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) www.wildflower.org/plants/result.php?id_plant=CYIM2. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=6605&locationType=County&mapType=Normal. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Cylindropuntia+imbricata&formsubmit=Search+Terms. 5) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=511921#null"
"","Cactus & Succulent","Christmas Cactus","Christmas Cholla, Pencil Cactus, Christmas Cholla, Desert Christmas Cactus","Cylindropuntia leptocaulis","Central Great Plains, Chihuahuan Deserts, Cross Timbers, Edwards Plateau, High Plains, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies","2","5","1","3","Sun","Low","Evergreen","Perennial","Spring","Yellow, Green","Fruit, Nectar","Sand, Gravelly","Birds, Bees","Grassland","Once established, the plant is very drought-tolerant.","Tasajillo attracts birds and pollinators. It is high value to native bees. The plant has high deer resistance and can become a pest if it isn’t controlled.","1) https://www.wildflower.org/plants/result.php?id_plant=CYLE8, 2) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=6604&locationType=County&mapType=Normal, 3) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=907718#null, 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Cylindropuntia+leptocaulis&formsubmit=Search+Terms"
"","Fern","Christmas Fern","","Polystichum acrostichoides","East Central Texas Plains, Western Gulf Coastal Plain","1","2","0.5","1","Part Shade, Shade","Medium","Evergreen","Perennial","No Bloom","No Bloom","","Sand, Loam, Rocky, Acid, Moist","","Woodland,Wetland or Riparian","Does not tolerate clay soils or standing water. Stressed in too much sun. Must be kept moist, cool & shaded.","Chistmas fern got its name because it stays green right through the holiday season. It is a leathery fern which has green fronds year-round. Christmas fern is very easy to establish and grow where conditions are right.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 105. 3) https://www.wildflower.org/plants/result.php?id_plant=POAC4. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Polystichum+acrostichoides&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=9539&locationType=County&mapType=Normal. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=17675#null"
"","Fern","Cinnamon Fern","","Osmundastrum cinnamomeum","Western Gulf Coastal Plain","2","3","0.5","1","Part Shade, Shade","High","Deciduous","Perennial","No Bloom","No Bloom","","Acid, Poor Drainage, Mud","","Wetland or Riparian","Cut off dead fronds in late winter if desired.","Fertile fronds appear first as silvery, furry fiddleheads, ultimately becoming stiff, erect, and covered with specialized pinnae, which turn their upper portions into a thick spike of fruit dots - turning from green to chocolate brown. Sterile fronds bend outwards forming a vase-shaped circle enclosing the cinnamon fronds. Superficial roots vulnerable to drying out in summer. Soil stabilization.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 379, 3) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1012094#null, 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=16552&locationType=County&mapType=Normal, 5) https://www.wildflower.org/plants/result.php?id_plant=OSCI"
"","Shrub,Vine","Climbing Prairie Rose","Climbing Prairie Rose, Prairie Rose","Rosa setigera","Texas Blackland Prairies","9","14","4","8","Sun, Part Shade","Low, Medium","Deciduous","Perennial","Spring","White, Pink","Fruit, Nectar","Sand, Loam, Clay, Calcareous, Well Drained","Birds, Hummingbirds","Woodland","Prune dead wood and older shoots occasionally, after flowering.","In May, deep pink flowers blanket this rose. Can grow as a rambling shrub or can twine up a tree. Works on an arbor, pergola or lattice where leaves and stems can get air circulation.  Has almost no thorns. Bright red fruits are popular with birds.  Texas distribution in the very northern region of Texas Blackland Prairies","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region,1991, pg. 361. 3) https://www.wildflower.org/plants/result.php?id_plant=ROSE2. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Rosa+setigera&formsubmit=Search+Terms. 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=21691&locationType=County&mapType=Normal, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=24839#null"
"","Herbaceous","Clustered Bushmint","","Hyptis alata","Gulf Coast Prairies and Marshes, Western Gulf Coastal Plain","2","5","0.5","1","Sun","Medium","Deciduous","Perennial","Spring, Summer, Fall","White","Nectar, Pollen","Sand, Acid, Moist","Butterflies, Birds, Bees","Wetland or Riparian","","Musky mint fragrance; round flower heads; tiny white flowers with purple spots. Attracts insects, which then attract birds.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) https://www.wildflower.org/plants/result.php?id_plant=HYAL. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=13416&locationType=County&mapType=Normal. 4) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32523#null"
"","Herbaceous","Coast Germander","Small Coastal Germander","Teucrium cubense","Chihuahuan Deserts, Gulf Coast Prairies and Marshes","1","3","1.5","3","Sun","Low","Deciduous","Perennial","Summer, Fall","White","Nectar","Dry","Bees","Woodland,Wetland or Riparian","Often grows adjacent to prickly pear.","This delicate, herbaceous mint relative has multitudes of small white blossoms. Native habitat notes: Found in sandy or silty soil along arroyos, washes or stream banks below 4,000 ft","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas, 2) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=32354#null, 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=13817&locationType=County&mapType=Normal, 4) https://www.wildflower.org/plants/result.php?id_plant=TECU"
"","Groundcover","Coastal Stonecrop","","Lenophyllum texanum","Gulf Coast Prairies and Marshes, Southern Texas Plains","0.5","0.75","0.5","1","Sun, Part Shade","Low","Semi Evergreen","Perennial","Summer","Yellow","Larval Host","Sand, Clay, Dry","Butterflies","Grassland","Tolerant of dry, poor soils. ","Use as a succulent groundcover in low traffic xeriscape areas. Larval Host: Variegated Fritillary","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 53. 3) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=8051&locationType=County&mapType=Normal. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Lenophyllum+texanum&formsubmit=Search+Terms. 5) https://www.wildflower.org/plants/result.php?id_plant=LETE4, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=503363#null"
"","Groundcover","Common Blue Violet","Missouri Violet","Viola sororia var. missouriensis","Cross Timbers, East Central Texas Plains, Gulf Coast Prairies and Marshes, Texas Blackland Prairies, Western Gulf Coastal Plain","0.5","0.75","0.25","0.5","Part Shade, Shade","Medium","Semi Evergreen","Annual","Spring","White, Pink, Blue, Purple","Seeds, Larval Host","Rich, Moist","Butterflies, Birds","Woodland,Wetland or Riparian","Thin plants if they become overgrown.","Easy to grow. Self-seeds freely; lovely mixed in lawns. Larval Host: Variegated Fritillary.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 53. 3) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 111. 4) https://www.wildflower.org/plants/result.php?id_plant=VIMI3. 5) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Viola+sororia+var.+missouriensis&formsubmit=Search+Terms. 6) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=24014&locationType=County&mapType=Normal, 7) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=541753#null"
"","Shrub","Common Elderberry","Black Elder, Mexican Elderberry, Common Elder, Elderberry, Tapiro, Sauco","Sambucus nigra ssp. canadensis","Texas Blackland Prairies, Western Gulf Coastal Plain","6","12","5","12","Part Shade","Medium, High","Deciduous","Perennial","Spring, Summer","White","Fruit, Flowers","Acid, Rich, Moist","Birds, Nectar Insects","Woodland,Wetland or Riparian","Prune heavily in winter to maintain thick form. Elderberry is a fast grower and aggressive competitor with weeds and herbaceous species. Individual plants are very short-lived, however root masses produce new shoots. Cutting the whole bush to the groud every other year may be necessary to keep the bushes in check.","White flowers, ripe purple fruit. Fast grower.","1) Griffith, Bryce, Omernick & Rodgers (2007). Ecoregions of Texas. 2) Miller, George O., Landscaping with Native Plants of Texas 2nd Ed., 2013, pg 48. 3) https://www.wildflower.org/plants/result.php?id_plant=SANIC4. 4) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Sambucus+nigra+subsp.+canadensis&formsubmit=Search+Terms 5) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=24206&locationType=County&mapType=Normal, 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=525079#null"
"","Fern","Common Maidenhair Fern","Southern Maidenhair Fern, Maidenhair Fern, Venus Hair Fern","Adiantum capillus-veneris","Chihuahuan Deserts, Edwards Plateau, Southern Texas Plains, Southwestern Tablelands, Texas Blackland Prairies","0.5","1.75","0.75","1.5","Sun, Part Shade","Medium, High","Evergreen","Perennial","No Bloom","No Bloom","","Sand, Loam, Limestone, Well Drained, Moist","","Woodland,Wetland or Riparian","Without watering, it will go dormant by July. Where water and drainage are adequate, the plant makes a lush ground cover.","Maidenhair Fern lacks a fan-like growth pattern found in other ferns. It has fine, lacy fronds arising in clusters from creeping rhizomes. Maidenhair prefers moisture year-round.  It is often used in crevices of rock walls and well-drained cobbles, especially in cool, north exposures.","1) Griffith, Bryce, Omernick & Rodgers (2007). 2) https://www.wildflower.org/plants/result.php?id_plant=ADCA. 3) https://portal.torcherbaria.org/portal/taxa/index.php?taxon=Adiantum+capillus-veneris&formsubmit=Search+Terms. 4) http://bonap.net/TDC/Image/Map?taxonType=Species&taxonId=20426&locationType=County&mapType=Normal. 5) Wasowski and Wasowski, Native Texas Plants Landscaping Region by Region, 1991, pg. 97. 6) https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=17308#null"
